rel_typ_idx,metadata_idx,similarity_score,rel_typ_text,metadata_text,match_method,match_score,fuzzy_score
1,8822,1.0000000000000002,"the un, who and wef are all working to the same goals and i don’t like them and i don’t think my con...","the un, who and wef are all working to the same goals and i don’t like them and i don’t think my con...",similarity_full_text,1.0000000000000002,
2,744,1.0,and they posted this. 🤔🤣...,continuation posted...,similarity_full_text,1.0,
3,16428,1.0,beauty of physics......,beauty of physics......,similarity_full_text,1.0,
4,3706,1.0000000000000002,"🚨| new: speed’s hair has been spotted on ebay for $1,700 after being pulled out of speed’s head yest...","🚨| new: speed’s hair has been spotted on ebay for $1,700 after being pulled out of speed’s head yest...",similarity_full_text,1.0000000000000002,
5,7762,1.0,🔥🚨developing: arnold schwarzenegger fans are saying that the actor has ‘aged 200 years in 2 months’ ...,🔥🚨developing: arnold schwarzenegger fans are saying that the actor has ‘aged 200 years in 2 months’ ...,similarity_full_text,1.0,
6,10649,1.0000000000000002,"sorry, let me see if i understand this: andrew tate was arrested by romanian police today on charges...","sorry, let me see if i understand this: andrew tate was arrested by romanian police today on charges...",similarity_full_text,1.0000000000000002,
7,12387,1.0000000000000002,stream snipers have their position revealed to the entire enemy team...,stream snipers have their position revealed to the entire enemy team...,similarity_full_text,1.0000000000000002,
8,16288,1.0,this just literally every twitter socialist ™ lmfao...,this just literally every twitter socialist ™ lmfao...,similarity_full_text,1.0,
9,657,1.0000000000000002,"fix leaks in your home instantly with this waterproof insulating sealant! ✅after application, it wil...","fix leaks in your home instantly with this waterproof insulating sealant! ✅after application, it wil...",similarity_full_text,1.0000000000000002,
10,1310,1.0,"breaking 🚨: south korea president declares emergency martial law, says measure necessary to protect ...","breaking 🚨: south korea president declares emergency martial law, says measure necessary to protect ...",similarity_full_text,1.0,
11,15947,1.0000000000000002,▪️ 16 goals ▪️ 9 assists cristiano ronaldo has been involved in 25 goals already this season. wherev...,▪️ 16 goals ▪️ 9 assists cristiano ronaldo has been involved in 25 goals already this season. wherev...,similarity_full_text,1.0000000000000002,
13,12445,1.0000000000000002,is rick ross okay??? 😭😭...,is rick ross okay??? 😭😭...,similarity_full_text,1.0000000000000002,
14,6071,1.0000000000000002,tmz reports rapper saucy santana was injured after an altercation at the diddy residence in la after...,tmz reports rapper saucy santana was injured after an altercation at the diddy residence in la after...,similarity_full_text,1.0000000000000002,
15,3101,1.0000000000000002,"let's rewind the clock to world war 1. churchill is boss of the british navy, and in 1915 he impleme...","let's rewind the clock to world war 1. churchill is boss of the british navy, and in 1915 he impleme...",similarity_full_text,1.0000000000000002,
17,4286,1.0000000000000002,"des milliers de marines de l’us air force ont débarqué en israël. par ailleurs, la france envoie dan...","des milliers de marines de l’us air force ont débarqué en israël. par ailleurs, la france envoie dan...",similarity_full_text,1.0000000000000002,
19,10050,1.0000000000000002,". has said he’s planning to clock-off everyday at 6pm when he’s prime minister, how privileged! work...",". has said he’s planning to clock-off everyday at 6pm when he’s prime minister, how privileged! work...",similarity_full_text,1.0000000000000002,
20,1123,1.0000000000000002,over 3 million brazilians filled the streets on republic day yesterday to protest the stolen electio...,over 3 million brazilians filled the streets on republic day yesterday to protest the stolen electio...,similarity_full_text,1.0000000000000002,
21,3105,1.0,3k instant profit...,3k instant profit...,similarity_full_text,1.0,
22,6201,1.0,sirius star through the nikon p1000 zoom....,sirius star through the nikon p1000 zoom....,similarity_full_text,1.0,
23,2935,1.0000000000000002,📸 capture life's moments effortlessly with the 😎 its back clip design allows you to stick it anywher...,📸 capture life's moments effortlessly with the 😎 its back clip design allows you to stick it anywher...,similarity_full_text,1.0000000000000002,
24,3087,1.0,breaking: madonna has been rushed to a new york city hospital after being found unresponsive. the po...,breaking: madonna has been rushed to a new york city hospital after being found unresponsive. the po...,similarity_full_text,1.0,
25,3143,1.0000000000000002,breaking: trump is facing $1 trillion lawsuit over massive covid-19 death toll in us...,breaking: trump is facing $1 trillion lawsuit over massive covid-19 death toll in us...,similarity_full_text,1.0000000000000002,
26,3991,1.0000000000000002,the us embassy in russia issued a very strange message about an imminent terrorist attack against cr...,the us embassy in russia issued a very strange message about an imminent terrorist attack against cr...,similarity_full_text,1.0000000000000002,
27,4959,,this is blatant election interference! joe biden and his democrat cronies are the true threats to de...,this is blatant election interference! joe biden and his democrat cronies are the true threats to de...,fuzzy_full_text,1.0,100.0
28,3099,1.0,"8. clearly canadian sparkling water, discontinued in the late 2000s...","8. clearly canadian sparkling water, discontinued in the late 2000s...",similarity_full_text,1.0,
29,3821,1.0,zelensky banned elections in ukraine. why wouldn’t his enablers do the same here....,zelensky banned elections in ukraine. why wouldn’t his enablers do the same here....,similarity_full_text,1.0,
30,12512,1.0,taylor has a tour bus company where she leases to other artists. her bag isn't from music only 😭...,taylor has a tour bus company where she leases to other artists. her bag isn't from music only 😭...,similarity_full_text,1.0,
31,2189,1.0,japanese police have arrested a 36-year-old man on suspicion of tampering with pokémon violet save d...,japanese police have arrested a 36-year-old man on suspicion of tampering with pokémon violet save d...,similarity_full_text,1.0,
32,11391,1.0000000000000002,"israeli reservists are caught on video having a 'scalping moment'. no, they have not been seen on vi...","israeli reservists are caught on video having a 'scalping moment'. no, they have not been seen on vi...",similarity_full_text,1.0000000000000002,
33,2858,1.0,"zelinsky: ukraine needs fresh young americans to help fight on the ground war. ""the us will have to ...","zelinsky: ukraine needs fresh young americans to help fight on the ground war. ""the us will have to ...",similarity_full_text,1.0,
34,675,1.0,"today, i found out why autism and adhd are the new 'thing' apparently, you can claim up to £189 pip....","today, i found out why autism and adhd are the new 'thing' apparently, you can claim up to £189 pip....",similarity_full_text,1.0,
36,12444,1.0000000000000002,i wonder what would happen if a christian was voted into the iranian parliament and wished to take t...,i wonder what would happen if a christian was voted into the iranian parliament and wished to take t...,similarity_full_text,1.0000000000000002,
37,1879,1.0,"as we breathed a collective sigh of relief today, a community in columbus felt the sting of another ...","as we breathed a collective sigh of relief today, a community in columbus felt the sting of another ...",similarity_full_text,1.0,
38,6829,1.0,"new: the federal government will be sending you a nationwide emergency disaster alert ""test"" on wedn...","new: the federal government will be sending you a nationwide emergency disaster alert ""test"" on wedn...",similarity_full_text,1.0,
39,8638,1.0000000000000002,this was the porto manager celebrating after beating arsenal in the first leg 🤦🏼‍♂️😭.. never celebra...,this was the porto manager celebrating after beating arsenal in the first leg 🤦🏼‍♂️😭.. never celebra...,similarity_full_text,1.0000000000000002,
40,5767,1.0000000000000002,"russia has no territorial claims to poland, latvia or other countries on the continent, russian pres...","russia has no territorial claims to poland, latvia or other countries on the continent, russian pres...",similarity_full_text,1.0000000000000002,
41,7664,1.0,bqqqqqm archive footage of stanley kubrick that he requested to be published after his death and a c...,bqqqqqm archive footage of stanley kubrick that he requested to be published after his death and a c...,similarity_full_text,1.0,
42,9026,1.0,"the latest forecast is still very relevant. be on watch, just in case....","the latest forecast is still very relevant. be on watch, just in case....",similarity_full_text,1.0,
43,14378,1.0,"savings accounts are paying 5.25%. if you simply put $2,000,000 in one, you can literally make $250k...","savings accounts are paying 5.25%. if you simply put $2,000,000 in one, you can literally make $250k...",similarity_full_text,1.0,
44,2435,1.0,breaking: karl rove is rallying support for kamala harris today in pennsylvania....,breaking: karl rove is rallying support for kamala harris today in pennsylvania....,similarity_full_text,1.0,
45,6350,1.0,biden fell asleep on the stream 😜...,biden fell asleep on the stream 😜...,similarity_full_text,1.0,
46,9383,1.0,luigi mangione had a video scheduled that just came out… this mf really the riddler...,luigi mangione had a video scheduled that just came out… this mf really the riddler...,similarity_full_text,1.0,
47,3073,1.0,a deputy’s first-person perspective during a dangerous fentanyl exposure thursday was captured on hi...,a deputy’s first-person perspective during a dangerous fentanyl exposure thursday was captured on hi...,similarity_full_text,1.0,
48,1475,1.0,"""what is a fact is that stress is a huge cause of cancer...i think that prince harry has to look at ...","""what is a fact is that stress is a huge cause of cancer...i think that prince harry has to look at ...",similarity_full_text,1.0,
