similarity_score,slanted_content,unreliable_content,matching_features,differing_features,num_matching,num_differing
0.9999999999999999,"@sentdefender The US Embassy in Russia issued a very strange message about an imminent terrorist attack against crowds in Moscow in the next 48h

They know it was going to happen. 🤔 https://t.co/jFGGgoyyCu",This Palestinian woman was denied vital treatment for her burns in an Israeli prison. She’s been released along with 38 other women and children in Israel’s hostage exchange with Hamas. https://t.co/Hcce3uatLt,"['Outdatedinformation', 'Missingimportantcontext', 'Meta Trustworthysources']","['Factualerror', 'Unverifiedclaimasfact']",3,2
0.9999999999999998,"The Prime Minister of Fucking Australia attempting to SCAM my bank account @AlboMP 🇦🇺

Correct scumbag? https://t.co/Qo45uXHHSL",Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Unverifiedclaimasfact', 'Meta Trustworthysources']","['Factualerror', 'Outdatedinformation', 'Missingimportantcontext']",2,3
0.9999999999999997,"🚨🇬🇧 UK Police shoot dead a Bangladeshi Male 

Chaos ensues in London.  It’s not a coincidence you’re seeing all these events unfold. 

Britain is falling apart. https://t.co/0CNjOVPaom",Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,['Meta Trustworthysources'],"['Factualerror', 'Outdatedinformation', 'Missingimportantcontext', 'Unverifiedclaimasfact']",1,4
0.9999999999999978,🔥🚨DEVELOPING: X made a new policy where if you are a journalist investigating in anything that could lead to an arrest you will be demonetized. That means X no longer values TRUE journalism. I wonder who this policy was made for. https://t.co/c8lCtUzF6p,Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Missingimportantcontext', 'Unverifiedclaimasfact', 'Meta Trustworthysources']","['Factualerror', 'Outdatedinformation']",3,2
0.9999999999999969,@flightradar24 Quite the track record . https://t.co/1tYJ0Nok5i,Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Missingimportantcontext', 'Meta Trustworthysources']","['Outdatedinformation', 'Unverifiedclaimasfact', 'Meta Quote Count']",2,3
0.9999999999999967,"I wonder what would happen if a Christian was voted into the iranian Parliament and wished to take their oath to serve the Ayatollah in Jesus Christ’s name.

Oh yeah. That wouldn’t happen in a million billion years.

We are not on our own side.

https://t.co/vjRUmP4FvN","Yes, I'm running against Joe Biden for the Democratic nomination. Joe Biden is down 24 points on the economy. He has no ability to make up that kind of ground on the most important issue. We need a new candidate now! https://t.co/JdRkmvU9Cy","['Factualerror', 'Missingimportantcontext', 'Meta Trustworthysources']",[],3,0
0.9999999999999951,Trump water sitting in a warehouse since 2010 when Trump Ice failed like everything he touches!! https://t.co/XT8Ih7HfCO,"""What is a fact is that stress is a huge cause of cancer...I think that Prince Harry has to look at his part in this.""
 
Royal Correspondent Victoria Mather suggests to ＠RachelSJohnson that 'Megxit' could be part of the reason King Charles is currently unwell with cancer. https://t.co/QSGuTO7Ozk",['Meta Trustworthysources'],"['Factualerror', 'Unverifiedclaimasfact']",1,2
0.9999999999999949,FYI to everyone who uses Discord. Be safe! https://t.co/FzKK8zzc4Y,This Palestinian woman was denied vital treatment for her burns in an Israeli prison. She’s been released along with 38 other women and children in Israel’s hostage exchange with Hamas. https://t.co/Hcce3uatLt,"['Factualerror', 'Missingimportantcontext', 'Unverifiedclaimasfact', 'Meta Trustworthysources']",['Outdatedinformation'],4,1
0.9999999999999929,"An individual who had been loading illicit streaming services on to so-called “Firesticks” has today been sentenced to three years and four months in prison.

➡️ https://t.co/tlf6ycnptr https://t.co/yr093FtQQe",the guy that ran onto the field during the Super Bowl outplayed the system LMFAOOO https://t.co/zYWmY9CGZ3,['Meta Trustworthysources'],"['Factualerror', 'Missingimportantcontext']",1,2
0.9999999999999918,"🇫🇷Macron in the French Media

You don’t require a translator to understand this headline!

This story just gets more bizarre by the day….. https://t.co/Z353mSDpgs",this reel is gonna stay rent free in my mind https://t.co/Ob2sv9YkzG,"['Missingimportantcontext', 'Meta Trustworthysources']",['Outdatedinformation'],2,1
